Company,Year,ROA,ROE,Revenue,Total Assets,PAT,Equity
IDC,2021,"2,83%","9,04%",4.301.236,16.075.835,454.308,5.028.037
IDC,2022,"10,39%","28,84%",7.485.390,17.013.411,1.767.507,6.127.923
IDC,2023,"7,86%","22,46%",7.237.032,17.720.446,1.393.647,6.204.915
IDC,2024,"10,62%","27,69%",8.846.411,18.800.161,1.996.055,7.207.648
IDC,2025,"8,33%","23,38%",8.588.150,23.201.491,1.931.791,8.263.031
KOS,2015,"0,17%","0,28%",3.858,278.520,465,167.085
KOS,2016,"3,95%","5,04%",150.576,519.956,20.536,407.621
KOS,2017,"3,55%","5,90%",407.689,747.138,26.519,449.140
KOS,2018,"2,63%","4,04%",900.018,1.711.132,45.064,1.116.704
KOS,2019,"1,05%","1,76%",1.062.828,1.908.703,20.063,1.136.767
KOS,2020,"1,00%","1,89%",1.308.626,2.198.472,21.912,1.158.678
KOS,2021,"0,58%","1,00%",1.106.568,3.874.815,22.549,2.263.541
KOS,2022,"0,45%","0,96%",1.343.460,4.835.564,21.830,2.285.227
KOS,2023,"0,44%","0,92%",1.315.815,4.752.985,21.138,2.306.365
KOS,2024,"0,45%","0,94%",1.438.927,4.851.309,21.739,2.318.635
KOS,2025,"0,39%","0,82%",1.555.288,4.866.349,19.067,2.337.702
SZC,2015,"2,92%","5,65%",155.385,2.131.521,62.320,1.103.312
SZC,2016,"2,42%","4,05%",101.363,1.820.810,44.140,1.089.720
SZC,2017,"3,30%","6,50%",219.670,2.201.412,72.703,1.118.180
SZC,2018,"3,77%","8,42%",290.230,2.581.010,97.352,1.156.406
SZC,2019,"4,34%","11,22%",329.422,3.089.826,134.129,1.195.935
SZC,2020,"4,21%","14,71%",432.981,4.417.746,186.001,1.264.237
SZC,2021,"5,76%","22,08%",713.222,5.616.375,323.629,1.465.585
SZC,2022,"3,12%","12,86%",858.889,6.334.996,197.367,1.534.252
SZC,2023,"3,14%","12,60%",817.946,6.961.129,218.873,1.737.315
SZC,2024,"3,67%","9,73%",870.683,8.225.800,302.127,3.105.551
SZC,2025,"4,22%","10,77%",1.097.946,8.171.471,344.801,3.202.889
FIR,2015,"7,69%","9,95%",3.675,2.587,199,2.000
FIR,2016,"10,06%","11,25%",9.741,25.208,2.535,22.535
FIR,2017,"6,21%","10,27%",60.760,245.687,15.249,148.481
FIR,2018,"11,79%","34,13%",176.269,652.463,76.941,225.440
FIR,2019,"20,51%","29,00%",327.863,450.217,92.324,318.405
FIR,2020,"8,79%","13,23%",176.157,549.608,48.324,365.373
FIR,2021,"6,27%","9,81%",196.415,633.469,39.745,405.219
FIR,2022,"8,80%","15,86%",384.512,1.302.864,114.590,722.336
FIR,2023,"1,36%","2,57%",169.125,1.402.922,19.087,741.423
FIR,2024,"0,05%","0,08%",123.962,1.339.408,611,742.033
FIR,2025,"0,16%","0,26%",108.263,1.236.558,1.968,744.000
SJS,2015,"3,93%","11,31%",855.452,5.734.361,225.105,1.990.459
SJS,2016,"3,00%","8,47%",514.269,5.969.111,178.993,2.112.258
SJS,2017,"2,09%","5,77%",-20.166,6.284.643,131.256,2.275.437
SJS,2018,"1,70%","4,87%",467.073,6.451.992,109.587,2.251.956
SJS,2019,"1,58%","4,69%",695.959,6.652.903,104.849,2.235.291
SJS,2020,"0,43%","1,42%",1.135.902,7.047.540,30.565,2.153.376
SJS,2021,"0,93%","2,95%",747.036,6.946.047,64.778,2.198.791
SJS,2022,"1,77%","4,65%",379.811,6.779.528,119.686,2.575.443
SJS,2023,"2,48%","6,71%",416.024,7.473.979,185.337,2.761.587
SJS,2024,"3,42%","8,97%",646.015,7.844.263,268.508,2.993.878
SJS,2025,"4,59%","10,49%",750.726,7.880.010,361.321,3.445.351
ASM,2015,"2,19%","3,52%",880.616,3.908.502,85.631,2.436.158
ASM,2016,"3,55%","6,55%",1.406.490,4.880.522,173.117,2.644.574
ASM,2017,"3,10%","6,13%",2.100.781,5.610.793,174.212,2.841.505
ASM,2018,"8,67%","18,10%",8.887.128,11.975.460,1.038.544,5.737.393
ASM,2019,"4,08%","10,11%",14.223.773,15.596.312,636.925,6.301.872
ASM,2020,"2,70%","6,92%",12.524.614,17.604.595,475.464,6.872.109
ASM,2021,"3,30%","7,93%",11.397.926,18.169.114,600.437,7.576.340
ASM,2022,"3,29%","8,02%",13.749.222,19.086.345,628.390,7.839.818
ASM,2023,"0,96%","2,49%",11.973.154,20.307.453,195.034,7.826.282
ASM,2024,"0,79%","2,24%",12.013.118,22.856.056,180.854,8.087.735
ASM,2025,"0,16%","0,46%",11.317.469,23.476.528,37.712,8.213.442
NDN,2015,"11,76%","14,50%",242.135,499.712,58.776,405.457
NDN,2016,"6,60%","8,58%",281.812,663.155,43.789,510.317
NDN,2017,"11,29%","15,62%",228.189,775.451,87.539,560.251
NDN,2018,"5,17%","15,39%",171.375,1.701.144,88.023,572.089
NDN,2019,"3,13%","10,21%",41.620,2.186.561,68.446,670.539
NDN,2020,"14,93%","33,37%",874.068,2.204.327,329.174,986.558
NDN,2021,"15,34%","23,67%",509.429,1.641.851,251.788,1.063.908
NDN,2022,"-9,55%","-15,94%",3.424,1.497.218,-142.961,896.654
NDN,2023,"16,46%","20,72%",435.757,1.325.203,218.146,1.052.745
NDN,2024,"2,83%","3,32%",55.617,1.277.801,36.176,1.088.771
NDN,2025,"13,07%","13,74%",26.564,1.300.950,170.082,1.237.886
NTL,2015,"7,35%","10,53%",473.237,1.277.582,93.953,892.604
NTL,2016,"5,43%","7,78%",433.359,1.376.714,74.756,961.381
NTL,2017,"5,81%","9,57%",301.646,1.597.602,92.760,968.998
NTL,2018,"6,02%","10,18%",714.124,1.680.048,101.166,993.984
NTL,2019,"14,40%","21,89%",835.098,1.623.395,233.809,1.068.195
NTL,2020,"16,32%","25,37%",652.853,1.809.935,295.405,1.164.263
NTL,2021,"12,68%","19,36%",576.724,1.876.989,237.956,1.229.067
NTL,2022,"6,32%","8,47%",391.277,1.685.280,106.500,1.257.920
NTL,2023,"17,89%","24,91%",914.024,2.035.335,364.190,1.462.180
NTL,2024,"28,47%","35,27%",1.441.314,2.178.125,620.095,1.757.931
NTL,2025,"0,92%","1,08%",17.517,1.884.355,17.428,1.609.980
HPX,2015,"3,52%","14,65%",1.035.358,4.423.844,155.737,1.062.800
HPX,2016,"3,39%","12,99%",1.807.840,4.899.117,166.033,1.278.292
HPX,2017,"4,94%","15,57%",1.080.467,6.576.023,325.183,2.088.693
HPX,2018,"6,11%","17,68%",2.019.624,7.398.332,452.274,2.558.558
HPX,2019,"6,54%","14,93%",3.431.937,6.829.641,446.702,2.992.800
HPX,2020,"1,25%","2,55%",1.329.628,7.378.527,92.293,3.620.943
HPX,2021,"2,61%","7,09%",1.417.006,9.578.592,249.919,3.526.748
HPX,2022,"-0,64%","-1,85%",1.210.372,9.467.030,-60.410,3.258.048
HPX,2023,"1,53%","3,55%",1.680.274,8.296.949,127.349,3.587.767
HPX,2024,"0,75%","1,58%",1.615.672,7.701.602,57.447,3.633.974
HPX,2025,"1,43%","3,41%",1.142.739,8.475.818,121.335,3.553.441
AGG,2015,,,,,,
AGG,2016,"0,07%","3,81%",602.637,2.267.344,1.547,40.646
AGG,2017,"2,39%","33,84%",989.145,2.451.628,58.562,173.046
AGG,2018,"12,77%","36,62%",1.125.412,2.291.060,292.641,799.106
AGG,2019,"6,05%","22,46%",384.627,5.398.913,326.497,1.453.450
AGG,2020,"4,25%","17,87%",1.753.643,9.753.392,414.713,2.320.738
AGG,2021,"3,34%","15,67%",1.808.365,12.564.828,419.375,2.675.589
AGG,2022,"0,17%","0,70%",6.188.635,11.098.528,18.966,2.725.619
AGG,2023,"1,89%","6,10%",3.891.047,9.293.398,175.358,2.876.121
AGG,2024,"4,23%","9,48%",1.913.398,7.035.484,297.501,3.137.089
AGG,2025,"6,92%","10,79%",829.089,5.476.945,379.195,3.514.998
VPH,2015,"6,49%","18,22%",259.140,1.672.577,108.616,596.040
VPH,2016,"4,62%","12,40%",429.249,1.748.113,80.846,652.232
VPH,2017,"9,89%","19,92%",1.382.042,1.928.523,190.686,957.457
VPH,2018,"7,06%","13,94%",706.219,2.074.245,146.515,1.051.384
VPH,2019,"1,68%","2,95%",162.544,1.781.620,29.898,1.015.048
VPH,2020,"0,65%","1,31%",268.627,2.090.253,13.644,1.039.093
VPH,2021,"4,06%","7,79%",290.558,2.051.055,83.208,1.068.476
VPH,2022,"0,88%","1,92%",161.610,2.242.856,19.666,1.021.923
VPH,2023,"-0,04%","-0,08%",73.143,2.366.331,-852,1.020.416
VPH,2024,"6,70%","11,85%",47.404,1.931.877,129.522,1.092.591
VPH,2025,"-1,05%","-2,00%",134.648,1.956.538,-20.579,1.027.051
SIP,2015,"1,88%","8,76%",977.817,4.090.322,77.063,879.599
SIP,2016,"2,83%","14,85%",1.806.687,5.111.198,144.538,973.494
SIP,2017,"2,89%","17,54%",2.569.512,6.485.783,187.440,1.068.535
SIP,2018,"2,04%","16,03%",3.239.457,10.738.929,218.576,1.363.929
SIP,2019,"4,42%","31,36%",4.339.741,13.465.969,594.962,1.897.367
SIP,2020,"6,14%","36,92%",5.082.583,16.700.343,1.025.695,2.777.912
SIP,2021,"4,69%","25,33%",5.577.559,17.817.257,835.406,3.297.878
SIP,2022,"5,14%","26,69%",6.034.523,19.003.422,977.156,3.660.833
SIP,2023,"4,40%","23,01%",6.676.517,21.060.427,926.897,4.028.051
SIP,2024,"4,67%","24,04%",7.801.157,25.052.881,1.170.163,4.867.821
SIP,2025,"4,61%","22,75%",8.596.226,28.670.188,1.322.872,5.813.983
TEG,2015,"3,65%","3,71%",28.452,159.394,5.819,156.792
TEG,2016,"15,97%","16,81%",133.415,198.341,31.672,188.464
TEG,2017,"10,63%","13,08%",185.079,278.365,29.595,226.259
TEG,2018,"9,00%","12,33%",181.892,353.297,31.787,257.832
TEG,2019,"0,65%","0,82%",157.925,532.941,3.489,425.811
TEG,2020,"1,34%","1,68%",214.715,564.992,7.555,448.543
TEG,2021,"3,78%","5,04%",249.830,1.224.554,46.284,918.247
TEG,2022,"3,33%","4,28%",222.414,1.233.581,41.122,961.805
TEG,2023,"5,84%","6,98%",325.521,1.168.231,68.238,977.374
