Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
VPI,2022,0,0.0486,0.1436,2152086,11095990,539690,3758707
VPI,2023,0,0.0396,0.1251,1864842,12530858,496225,3966629
VPI,2024,0,0.0295,0.0647,1897331,11138519,328475,5074140
VPI,2025,0,0.0265,0.0714,1976352,14727969,390644,5474402
KHG,2015,0,,,,,,
KHG,2016,0,,,,,,
KHG,2017,0,,,,,,
KHG,2018,0,0.0116,0.0131,171055,1413807,16433,1251213
KHG,2019,0,0.0073,0.0081,136650,1399746,10156,1261369
KHG,2020,1,0.0408,0.0550,302970,2370523,96706,1758075
KHG,2021,1,0.0644,0.0880,1288142,6420340,413504,4697378
KHG,2022,0,0.0628,0.0861,1396204,7044645,442469,5139847
KHG,2023,0,0.0040,0.0049,330530,6390734,25361,5165208
KHG,2024,0,0.0083,0.0105,309842,6591186,54626,5219834
KHG,2025,0,0.0098,0.0130,601302,6994484,68709,5289632
DXS,2015,0,,,,,,
DXS,2016,0,,,,,,
DXS,2017,0,,,,,,
DXS,2018,0,0.1740,0.4658,2479153,5982843,1041174,2235162
DXS,2019,0,0.1816,0.3215,4090733,8993139,1632944,5078529
DXS,2020,1,0.1023,0.1945,3249212,11095041,1135538,5839337
DXS,2021,1,0.0577,0.1125,4328806,15147811,873462,7763525
DXS,2022,0,0.0319,0.0640,4096290,16602259,529940,8284884
DXS,2023,0,-0.0104,-0.0198,1997404,15457120,-160262,8102944
DXS,2024,0,0.0165,0.0298,2437887,15068519,248079,8316413
DXS,2025,0,0.0311,0.0593,3966299,16842602,523442,8832413
NLG,2015,0,0.0415,0.0860,1258544,5022018,208589,2426495
NLG,2016,0,0.0624,0.1231,2533799,6208809,387570,3147274
NLG,2017,0,0.0956,0.2031,3161312,7905948,756165,3722748
NLG,2018,0,0.0927,0.1929,3479608,9574400,887193,4600315
NLG,2019,0,0.0924,0.1625,2546101,10904394,1007273,6199933
NLG,2020,1,0.0623,0.1265,2216719,13642706,850327,6720338
NLG,2021,1,0.0626,0.1093,5205519,23617638,1477959,13527665
NLG,2022,0,0.0320,0.0650,4338841,27084709,865546,13315130
NLG,2023,0,0.0280,0.0592,3181422,28611223,800477,13532755
NLG,2024,0,0.0458,0.0952,7196050,30318114,1387389,14568926
NLG,2025,0,0.0356,0.0638,5645087,26564516,946309,14824244
HDC,2015,0,0.0406,0.0766,423552,1197205,48610,634389
HDC,2016,0,0.0417,0.0888,478861,1424146,59342,667972
HDC,2017,0,0.0540,0.1132,410121,1501815,81066,716022
HDC,2018,0,0.0647,0.1320,715260,1638446,105973,802792
HDC,2019,0,0.0593,0.1261,824544,2463325,146005,1157577
HDC,2020,1,0.0694,0.2025,838973,3332284,231281,1142139
